Restaurant,Cuisine,Price,Recommended dish
Magnolia Bakery,Dessert,$,Banana pudding
Sweet Rehab,Dessert,$,Le Miel
Little Grace Bakery,Dessert,$,Basque cheesecake
SaiTong Thai,Thai,$$,Chumphon pineapple curry 
Osteria Barocca,Italian,$$,Tonnarelli Alle Vongole
Lucciola,Italian,$$$,Viaggio In Emilia Romagna
Milk Bar,Dessert,$$,The Milk Bar Sampler
Thai Villa,Thai,$$,MOO-OBB NAM PUAUNG
Mama's TOO!,Italian,$$,Angry Nonna
Sala Thai,Thai,$,Mango sticky rice
Pranakhon,Thai,$$,Kao Tom seafood
Fish Cheeks,Thai,$$$,Coconut crab curry
Bangkok Supper Club,Thai,$$$,Ba Jang Lobster
Osteria 106,Italian,$$,Petto D'Aantra
Don Angie,Italian,$$$,Buffalo milk caramelle
Levian Bakery,Dessert,$$,Signature cookie assortment
Aquavit,Scandanavian,$$$,Ora King Salmon
Momokawa,Japanese,$$$,Kamo Reisei
Chongqing Lao Zao,Chinese,$$$,Cilantro Meatballs
Chalong,Thai,$$$,Moo Ko
Marea,Italian,$$$,Pappardelle All'Aragosta
Acadia,Mediterranean ,$$$,Crispy Roasted Lamb
Bangklyn East Harlem,Thai,$$,Morning Market Noodle
Oso,Mexican,$$,Zucchini Blossom Empanadas
Tatiana,Caribbean,$$$,Bodega Special
Hwa Yuan Szechuan,Chinese,$$$,Grand Marnier Prawns
Hot Jalapeno,Mexican,$,Enchiladas de Mole
Covacha,Mexican,$,Chilaquiles Rojos
Twin Tails,Thai,$$$,Clay Pot Salmon
Happy Hot Hunan,Chinese,$$,Bitter Melon w. Egg
The Dead Rabbit,Irish,$$$,Irish Breakfast
Cho Dang Gol,Korean,$$,Cod Roe Omelet
La Cabaña Salvadoreña,Salvadorean,$,Pupusas
Buddakhan,Chinese,$$$,Peking Duck for Two
Sylvia's ,American,$$,Fried Chicken
Thai Market,Thai,$$,Roast Duck Noodle Soup
Rangoon,Burmese,$$,Fermented Tea Leaf Salad
El Bambu,Guatemalan,$,Bean and Cheese Pupusa
KJUN,Korean,$$$,Okra Kimchi
Semma,Indian,$$$,Meen Pollichathu
The Smith,American,$$,Country Pork Chop
The 1770 House,American,$$$,Braised Rabbit Pasta
Casa Enrique,Mexican,$$$,Tres Leches
The Bocuse Restaurant,French,$$$,Seared Sea Scallops
Topping Rose House,American,$$$,Whole Roasted Lobster
L'Artusi,Italian,$$$,Cavatelli
Elea,Greek,$$$,Sesame Crusted Feta
Baazi,Indian,$$$,Banarsi Tikki
Abyssinia,Ethiopian,$$,Lamb lega Tibs
Saiguette,Vietnamese,$,Spicy Pho Vermicelli
The Expat,Thai,$$,Spicy Mango Salad
Miss Mamie's,American,$$,Lizzie's Chicken & Waffles
Mountain House,Chinese,$$,Peppercorn Beef
SourAji,Japanese,$$$,Sushi Bar
